in s,C1 in V
-5.9999846E-01,-1.86035E+00
-5.9998925E-01,-1.83105E+00
-5.9998003E-01,-1.85059E+00
-5.9997082E-01,-1.83105E+00
-5.9996160E-01,-1.82129E+00
-5.9995238E-01,-1.86035E+00
-5.9994317E-01,-1.88965E+00
-5.9993395E-01,-1.83105E+00
-5.9992474E-01,-1.84082E+00
-5.9991552E-01,-1.85059E+00
-5.9990630E-01,-1.84082E+00
-5.9989709E-01,-1.86035E+00
-5.9988787E-01,-1.83105E+00
-5.9987866E-01,-1.85059E+00
-5.9986944E-01,-1.86035E+00
-5.9986022E-01,-1.86035E+00
-5.9985101E-01,-1.84082E+00
-5.9984179E-01,-1.83105E+00
-5.9983258E-01,-1.86035E+00
-5.9982336E-01,-1.85059E+00
-5.9981414E-01,-1.86035E+00
-5.9980493E-01,-1.84082E+00
-5.9979571E-01,-1.83105E+00
-5.9978650E-01,-1.84082E+00
-5.9977728E-01,-1.84082E+00
-5.9976806E-01,-1.86035E+00
-5.9975885E-01,-1.86035E+00
-5.9974963E-01,-1.86035E+00
-5.9974042E-01,-1.88965E+00
-5.9973120E-01,-1.84082E+00
-5.9972198E-01,-1.87012E+00
-5.9971277E-01,-1.82129E+00
-5.9970355E-01,-1.84082E+00
-5.9969434E-01,-1.85059E+00
-5.9968512E-01,-1.84082E+00
-5.9967590E-01,-1.86035E+00
-5.9966669E-01,-1.86035E+00
-5.9965747E-01,-1.85059E+00
-5.9964826E-01,-1.86035E+00
-5.9963904E-01,-1.86035E+00
-5.9962982E-01,-1.83105E+00
-5.9962061E-01,-1.85059E+00
-5.9961139E-01,-1.84082E+00
-5.9960218E-01,-1.87012E+00
-5.9959296E-01,-1.84082E+00
-5.9958374E-01,-1.84082E+00
-5.9957453E-01,-1.86035E+00
-5.9956531E-01,-1.87988E+00
-5.9955610E-01,-1.85059E+00
-5.9954688E-01,-1.84082E+00
-5.9953766E-01,-1.86035E+00
-5.9952845E-01,-1.84082E+00
-5.9951923E-01,-1.86035E+00
-5.9951002E-01,-1.84082E+00
-5.9950080E-01,-1.86035E+00
-5.9949158E-01,-1.86035E+00
-5.9948237E-01,-1.84082E+00
-5.9947315E-01,-1.86035E+00
-5.9946394E-01,-1.86035E+00
-5.9945472E-01,-1.86035E+00
-5.9944550E-01,-1.84082E+00
-5.9943629E-01,-1.84082E+00
-5.9942707E-01,-1.85059E+00
-5.9941786E-01,-1.83105E+00
-5.9940864E-01,-1.83105E+00
-5.9939942E-01,-1.83105E+00
-5.9939021E-01,-1.85059E+00
-5.9938099E-01,-1.86035E+00
-5.9937178E-01,-1.83105E+00
-5.9936256E-01,-1.86035E+00
-5.9935334E-01,-1.83105E+00
-5.9934413E-01,-1.85059E+00
-5.9933491E-01,-1.87012E+00
-5.9932570E-01,-1.87988E+00
-5.9931648E-01,-1.88965E+00
-5.9930726E-01,-1.84082E+00
-5.9929805E-01,-1.86035E+00
