in s,C1 in V
-6.1997172E+00,2.00195E+00
-6.1996248E+00,1.96289E+00
-6.1995324E+00,1.94336E+00
-6.1994400E+00,1.94336E+00
-6.1993476E+00,2.04102E+00
-6.1992552E+00,1.94336E+00
-6.1991628E+00,1.94336E+00
-6.1990704E+00,1.98242E+00
-6.1989780E+00,1.94336E+00
-6.1988856E+00,1.88477E+00
-6.1987932E+00,1.92383E+00
-6.1987008E+00,1.88477E+00
-6.1986084E+00,1.88477E+00
-6.1985160E+00,1.94336E+00
-6.1984236E+00,2.00195E+00
-6.1983312E+00,1.88477E+00
-6.1982388E+00,1.92383E+00
-6.1981464E+00,1.98242E+00
-6.1980540E+00,2.00195E+00
-6.1979616E+00,1.86523E+00
-6.1978692E+00,1.94336E+00
-6.1977768E+00,1.94336E+00
-6.1976844E+00,1.94336E+00
-6.1975920E+00,1.98242E+00
-6.1974996E+00,1.92383E+00
-6.1974072E+00,1.98242E+00
-6.1973148E+00,1.94336E+00
-6.1972224E+00,1.88477E+00
-6.1971300E+00,1.94336E+00
-6.1970376E+00,1.92383E+00
-6.1969452E+00,1.92383E+00
-6.1968528E+00,1.94336E+00
-6.1967604E+00,1.94336E+00
-6.1966680E+00,2.00195E+00
-6.1965756E+00,2.02148E+00
-6.1964832E+00,2.00195E+00
-6.1963908E+00,2.00195E+00
-6.1962984E+00,1.98242E+00
-6.1962060E+00,1.94336E+00
-6.1961136E+00,1.86523E+00
-6.1960212E+00,1.96289E+00
-6.1959288E+00,1.94336E+00
-6.1958364E+00,1.90430E+00
-6.1957440E+00,1.96289E+00
-6.1956516E+00,1.96289E+00
-6.1955592E+00,1.94336E+00
-6.1954668E+00,1.94336E+00
-6.1953744E+00,1.96289E+00
-6.1952820E+00,2.00195E+00
-6.1951896E+00,1.96289E+00
-6.1950972E+00,2.00195E+00
-6.1950048E+00,1.92383E+00
-6.1949124E+00,1.90430E+00
-6.1948200E+00,1.90430E+00
-6.1947276E+00,1.88477E+00
-6.1946352E+00,1.92383E+00
-6.1945428E+00,1.96289E+00
-6.1944504E+00,1.94336E+00
-6.1943580E+00,1.96289E+00
-6.1942656E+00,1.92383E+00
-6.1941732E+00,2.00195E+00
-6.1940808E+00,2.02148E+00
-6.1939884E+00,2.00195E+00
-6.1938960E+00,1.94336E+00
-6.1938036E+00,1.90430E+00
-6.1937112E+00,2.00195E+00
-6.1936188E+00,1.92383E+00
-6.1935264E+00,1.86523E+00
-6.1934340E+00,2.00195E+00
-6.1933416E+00,1.88477E+00
-6.1932492E+00,1.96289E+00
-6.1931568E+00,1.88477E+00
-6.1930644E+00,1.94336E+00
-6.1929720E+00,1.88477E+00
-6.1928796E+00,1.94336E+00
-6.1927872E+00,1.88477E+00
-6.1926948E+00,1.92383E+00
-6.1926024E+00,1.88477E+00
-6.1925100E+00,1.92383E+00
-6.1924176E+00,1.96289E+00
-6.1923252E+00,1.92383E+00
-6.1922328E+00,1.94336E+00
-6.1921404E+00,2.00195E+00
-6.1920480E+00,1.88477E+00
-6.1919556E+00,1.96289E+00
-6.1918632E+00,1.94336E+00
-6.1917708E+00,1.96289E+00
-6.1916784E+00,1.88477E+00
-6.1915860E+00,1.86523E+00
-6.1914936E+00,1.92383E+00
-6.1914012E+00,1.86523E+00
