in s,C1 in V
-1.3999430E+00,-6.84570E+00
-1.3999246E+00,-6.88477E+00
-1.3999061E+00,-6.78711E+00
-1.3998876E+00,-6.80664E+00
-1.3998691E+00,-6.80664E+00
-1.3998506E+00,-6.80664E+00
-1.3998322E+00,-6.80664E+00
-1.3998137E+00,-6.86523E+00
-1.3997952E+00,-6.88477E+00
-1.3997767E+00,-6.76758E+00
-1.3997582E+00,-6.88477E+00
-1.3997398E+00,-6.86523E+00
-1.3997213E+00,-6.80664E+00
-1.3997028E+00,-6.78711E+00
-1.3996843E+00,-6.88477E+00
-1.3996658E+00,-6.82617E+00
-1.3996474E+00,-6.82617E+00
-1.3996289E+00,-6.82617E+00
-1.3996104E+00,-6.78711E+00
-1.3995919E+00,-6.82617E+00
-1.3995734E+00,-6.80664E+00
-1.3995550E+00,-6.82617E+00
-1.3995365E+00,-6.80664E+00
-1.3995180E+00,-6.86523E+00
-1.3994995E+00,-6.78711E+00
-1.3994810E+00,-6.78711E+00
-1.3994626E+00,-6.78711E+00
-1.3994441E+00,-6.78711E+00
-1.3994256E+00,-6.70898E+00
-1.3994071E+00,-6.74805E+00
-1.3993886E+00,-6.76758E+00
-1.3993702E+00,-6.76758E+00
-1.3993517E+00,-6.78711E+00
-1.3993332E+00,-6.72852E+00
-1.3993147E+00,-6.72852E+00
-1.3992962E+00,-6.76758E+00
-1.3992778E+00,-6.78711E+00
-1.3992593E+00,-6.72852E+00
-1.3992408E+00,-6.72852E+00
-1.3992223E+00,-6.68945E+00
-1.3992038E+00,-6.72852E+00
-1.3991854E+00,-6.70898E+00
-1.3991669E+00,-6.80664E+00
-1.3991484E+00,-6.78711E+00
-1.3991299E+00,-6.80664E+00
-1.3991114E+00,-6.68945E+00
-1.3990930E+00,-6.68945E+00
-1.3990745E+00,-6.68945E+00
-1.3990560E+00,-6.66992E+00
-1.3990375E+00,-6.72852E+00
-1.3990190E+00,-6.72852E+00
-1.3990006E+00,-6.72852E+00
-1.3989821E+00,-6.68945E+00
-1.3989636E+00,-6.74805E+00
-1.3989451E+00,-6.66992E+00
-1.3989266E+00,-6.74805E+00
-1.3989082E+00,-6.74805E+00
-1.3988897E+00,-6.82617E+00
-1.3988712E+00,-6.76758E+00
-1.3988527E+00,-6.72852E+00
-1.3988342E+00,-6.72852E+00
-1.3988158E+00,-6.78711E+00
-1.3987973E+00,-6.68945E+00
-1.3987788E+00,-6.80664E+00
-1.3987603E+00,-6.78711E+00
-1.3987418E+00,-6.78711E+00
-1.3987234E+00,-6.72852E+00
-1.3987049E+00,-6.65039E+00
-1.3986864E+00,-6.72852E+00
-1.3986679E+00,-6.76758E+00
-1.3986494E+00,-6.74805E+00
-1.3986310E+00,-6.80664E+00
-1.3986125E+00,-6.66992E+00
-1.3985940E+00,-6.78711E+00
-1.3985755E+00,-6.68945E+00
-1.3985570E+00,-6.74805E+00
-1.3985386E+00,-6.86523E+00
-1.3985201E+00,-6.80664E+00
-1.3985016E+00,-6.72852E+00
-1.3984831E+00,-6.74805E+00
-1.3984646E+00,-6.82617E+00
-1.3984462E+00,-6.72852E+00
-1.3984277E+00,-6.80664E+00
-1.3984092E+00,-6.84570E+00
-1.3983907E+00,-6.82617E+00
-1.3983722E+00,-6.76758E+00
-1.3983538E+00,-6.84570E+00
-1.3983353E+00,-6.82617E+00
-1.3983168E+00,-6.84570E+00
-1.3982983E+00,-6.86523E+00
-1.3982798E+00,-6.86523E+00
-1.3982614E+00,-6.78711E+00
-1.3982429E+00,-6.80664E+00
-1.3982244E+00,-6.84570E+00
-1.3982059E+00,-6.82617E+00
-1.3981874E+00,-6.88477E+00
-1.3981690E+00,-6.88477E+00
-1.3981505E+00,-6.86523E+00
-1.3981320E+00,-6.84570E+00
-1.3981135E+00,-6.88477E+00
-1.3980950E+00,-6.86523E+00
-1.3980766E+00,-6.88477E+00
-1.3980581E+00,-6.84570E+00
-1.3980396E+00,-6.90430E+00
-1.3980211E+00,-6.84570E+00
-1.3980026E+00,-6.84570E+00
-1.3979842E+00,-6.82617E+00
-1.3979657E+00,-6.84570E+00
-1.3979472E+00,-6.78711E+00
-1.3979287E+00,-6.90430E+00
-1.3979102E+00,-6.84570E+00
-1.3978918E+00,-6.76758E+00
-1.3978733E+00,-6.74805E+00
-1.3978548E+00,-6.84570E+00
-1.3978363E+00,-6.82617E+00
-1.3978178E+00,-6.76758E+00
-1.3977994E+00,-6.82617E+00
-1.3977809E+00,-6.90430E+00
-1.3977624E+00,-6.90430E+00
-1.3977439E+00,-6.82617E+00
-1.3977254E+00,-6.80664E+00
-1.3977070E+00,-6.80664E+00
-1.3976885E+00,-6.88477E+00
-1.3976700E+00,-6.82617E+00
-1.3976515E+00,-6.80664E+00
-1.3976330E+00,-6.78711E+00
-1.3976146E+00,-6.82617E+00
-1.3975961E+00,-6.82617E+00
-1.3975776E+00,-6.86523E+00
-1.3975591E+00,-6.76758E+00
-1.3975406E+00,-6.78711E+00
-1.3975222E+00,-6.76758E+00
-1.3975037E+00,-6.74805E+00
-1.3974852E+00,-6.80664E+00
-1.3974667E+00,-6.78711E+00
-1.3974482E+00,-6.70898E+00
-1.3974298E+00,-6.80664E+00
-1.3974113E+00,-6.70898E+00
-1.3973928E+00,-6.68945E+00
-1.3973743E+00,-6.84570E+00
-1.3973558E+00,-6.76758E+00
-1.3973374E+00,-6.76758E+00
-1.3973189E+00,-6.74805E+00
-1.3973004E+00,-6.78711E+00
-1.3972819E+00,-6.78711E+00
-1.3972634E+00,-6.68945E+00
-1.3972450E+00,-6.76758E+00
-1.3972265E+00,-6.70898E+00
-1.3972080E+00,-6.72852E+00
-1.3971895E+00,-6.70898E+00
-1.3971710E+00,-6.76758E+00
