in s,C1 in V
-1.3999360E+00,8.52051E+00
-1.3999176E+00,8.56934E+00
-1.3998992E+00,8.42285E+00
-1.3998809E+00,8.42285E+00
-1.3998625E+00,8.37402E+00
-1.3998442E+00,8.47168E+00
-1.3998258E+00,8.47168E+00
-1.3998074E+00,8.56934E+00
-1.3997891E+00,8.42285E+00
-1.3997707E+00,8.42285E+00
-1.3997524E+00,8.52051E+00
-1.3997340E+00,8.42285E+00
-1.3997156E+00,8.52051E+00
-1.3996973E+00,8.42285E+00
-1.3996789E+00,8.42285E+00
-1.3996606E+00,8.42285E+00
-1.3996422E+00,8.42285E+00
-1.3996238E+00,8.42285E+00
-1.3996055E+00,8.52051E+00
-1.3995871E+00,8.47168E+00
-1.3995688E+00,8.42285E+00
-1.3995504E+00,8.47168E+00
-1.3995320E+00,8.42285E+00
-1.3995137E+00,8.56934E+00
-1.3994953E+00,8.52051E+00
-1.3994770E+00,8.42285E+00
-1.3994586E+00,8.47168E+00
-1.3994402E+00,8.37402E+00
-1.3994219E+00,8.42285E+00
-1.3994035E+00,8.47168E+00
-1.3993852E+00,8.52051E+00
-1.3993668E+00,8.56934E+00
-1.3993484E+00,8.56934E+00
-1.3993301E+00,8.42285E+00
-1.3993117E+00,8.61816E+00
-1.3992934E+00,8.56934E+00
-1.3992750E+00,8.42285E+00
-1.3992566E+00,8.37402E+00
-1.3992383E+00,8.56934E+00
-1.3992199E+00,8.42285E+00
-1.3992016E+00,8.42285E+00
-1.3991832E+00,8.56934E+00
-1.3991648E+00,8.47168E+00
-1.3991465E+00,8.37402E+00
-1.3991281E+00,8.56934E+00
-1.3991098E+00,8.42285E+00
-1.3990914E+00,8.56934E+00
-1.3990730E+00,8.37402E+00
-1.3990547E+00,8.56934E+00
-1.3990363E+00,8.42285E+00
-1.3990180E+00,8.42285E+00
-1.3989996E+00,8.42285E+00
-1.3989812E+00,8.52051E+00
-1.3989629E+00,8.27637E+00
-1.3989445E+00,8.42285E+00
-1.3989262E+00,8.56934E+00
-1.3989078E+00,8.47168E+00
-1.3988894E+00,8.52051E+00
-1.3988711E+00,8.61816E+00
-1.3988527E+00,8.42285E+00
-1.3988344E+00,8.42285E+00
-1.3988160E+00,8.42285E+00
-1.3987976E+00,8.47168E+00
-1.3987793E+00,8.52051E+00
-1.3987609E+00,8.47168E+00
-1.3987426E+00,8.56934E+00
-1.3987242E+00,8.32520E+00
-1.3987058E+00,8.47168E+00
-1.3986875E+00,8.42285E+00
-1.3986691E+00,8.56934E+00
-1.3986508E+00,8.47168E+00
-1.3986324E+00,8.47168E+00
-1.3986140E+00,8.52051E+00
-1.3985957E+00,8.37402E+00
-1.3985773E+00,8.56934E+00
-1.3985590E+00,8.61816E+00
-1.3985406E+00,8.42285E+00
-1.3985222E+00,8.42285E+00
-1.3985039E+00,8.52051E+00
-1.3984855E+00,8.27637E+00
-1.3984672E+00,8.52051E+00
-1.3984488E+00,8.52051E+00
-1.3984304E+00,8.61816E+00
-1.3984121E+00,8.32520E+00
-1.3983937E+00,8.37402E+00
-1.3983754E+00,8.42285E+00
-1.3983570E+00,8.47168E+00
-1.3983386E+00,8.56934E+00
-1.3983203E+00,8.42285E+00
-1.3983019E+00,8.32520E+00
-1.3982836E+00,8.52051E+00
-1.3982652E+00,8.52051E+00
-1.3982468E+00,8.47168E+00
-1.3982285E+00,8.52051E+00
-1.3982101E+00,8.47168E+00
-1.3981918E+00,8.47168E+00
-1.3981734E+00,8.56934E+00
-1.3981550E+00,8.47168E+00
-1.3981367E+00,8.56934E+00
-1.3981183E+00,8.42285E+00
-1.3981000E+00,8.37402E+00
-1.3980816E+00,8.37402E+00
-1.3980632E+00,8.42285E+00
-1.3980449E+00,8.42285E+00
-1.3980265E+00,8.47168E+00
-1.3980082E+00,8.37402E+00
-1.3979898E+00,8.42285E+00
-1.3979714E+00,8.42285E+00
-1.3979531E+00,8.52051E+00
-1.3979347E+00,8.52051E+00
-1.3979164E+00,8.37402E+00
-1.3978980E+00,8.42285E+00
-1.3978796E+00,8.52051E+00
-1.3978613E+00,8.42285E+00
-1.3978429E+00,8.32520E+00
-1.3978246E+00,8.42285E+00
